gene	log2FC	FDR
FCRLB	-0.25	0.299019698622834
MPP7	-0.3	0.278584552567345
CSRP2BP	-0.18	0.22906944486941
SRPK2	0.16	0.210392433601735
MEF2C	0.18	0.226447813174504
ABCD4	-0.21	0.211802775023834
CDK1	-0.22	0.205378139529771
LCORL	0.25	0.209294090583486
CENPK	-0.31	0.212280458726846
SOCS3	0.43	0.48549429870974
MMD	0.19	0.227884305768922
HEATR2	-0.47	0.269058606976067
B3GNT2	-0.19	0.203253592365135
LMLN	0.31	0.503940237691508
ARMCX3	0.38	0.211021840792384
TIMM13	-0.37	0.212714344613705
ZBTB43	0.16	0.234351210039692
DTX2	0.22	0.263547660960669
FOXF2	0.32	0.535899929063608
TECTA	0.23	0.515882716302942
ANKFY1	0.24	0.207547933875558
CRCP	0.23	0.214061666284841
FLRT1	1.09	0.491890109134122
TXNDC9	0.27	0.222271025317488
PRMT1	-0.31	0.205378139529771
DYRK1B	-0.3	0.416458363695826
PLEKHG4B	0.54	0.518676265238356
SKP2	0.3	0.204874660421635
TMEM232	-0.3	0.506781599927397
DOCK8	0.2	0.208567549580729
GPKOW	-0.19	0.231647336232574
FBXO48	-0.26	0.329085403022694
TMEM41B	0.21	0.206159058824351
CNNM4	0.21	0.245400459821351
IRF2BP1	0.2	0.235014343221929
MRPL52	0.29	0.215886718464782
FAM129A	1.19	0.356318597048075
RAD9A	-0.25	0.240387045051274
RBM7	0.18	0.218881292689642
RAP2A	-0.24	0.205191461509373
SSPN	0.3	0.525624613783002
FAM161B	-0.25	0.365683892757337
SNTB1	-0.64	0.210734457236708
SLAMF8	-0.51	0.418358342194416
PRKAB1	0.2	0.227901317762135
PES1	-0.4	0.208721601134741
CRY1	0.2	0.228304731961618
MIPOL1	-0.24	0.270100487776231
HAMP	-0.4	0.488491179597666
C1orf101	0.27	0.463670608894213
BCL9L	0.35	0.266645744727237
TMEM223	-0.2	0.251244732565436
AOC2	0.38	0.408897859626483
MTG1	-0.2	0.236028479420641
NAIP	-0.27	0.254802945442211
DMGDH	0.9	0.534391950922047
EDIL3	0.29	0.574605651349159
ATAD2	-0.2	0.217710200433797
YLPM1	0.24	0.213712616181702
EHD4	-0.22	0.227539620982509
SPP1	-1.64	0.438985267812773
ADAM32	-0.34	0.468804059424658
BEND5	-0.54	0.24227783800398
PITPNM3	0.33	0.508834122930854
TCP11	0.37	0.416382573159294
SELPLG	-0.6	0.528081934932595
SLC25A36	-0.28	0.208029028561409
BCCIP	-0.39	0.214549278236551
TLE6	-0.56	0.374518741130646
GEMIN5	-0.39	0.215255910987609
EXOSC4	-0.24	0.234321885459019
TMEM256	-0.32	0.231992339442088
POLK	-0.2	0.22253429686503
NSDHL	-0.45	0.252102271758516
SNTA1	0.7	0.461828144608647
TMEM182	0.21	0.295465733541546
TLR7	-0.55	0.371852625901993
GLYR1	0.17	0.20970188048945201
LATS2	-0.32	0.392080544324901
FRMD3	-0.28	0.520093030417039
PIK3CA	0.22	0.208668523119373
VPS9D1	0.27	0.326172748452718
ANP32A	-0.21	0.212789870629889
TMEM38B	-0.27	0.236444665634443
KIAA1257	0.48	0.420134001669469
CDC6	-0.29	0.211922017635374
TIGD5	-0.23	0.248163789486155
RDH5	-0.23	0.393938329624737
RAD21	-0.16	0.222271025317488
YBEY	-0.22	0.282645198663641
MAGOH	-0.3	0.240195400686353
EIF3B	-0.28	0.208988434606565
BCL2	0.14	0.218219683775902
ACSL6	0.95	0.471025349561503
SLC25A35	0.25	0.456729212217976
RAB4B	0.2	0.260806545546945
SPNS2	-0.45	0.27704389168075
AD000671.6	-0.23	0.382294488181901
PGBD4	-0.23	0.316552827210805
GTF2B	0.16	0.218053257204983
ZNF800	0.15	0.216441013132957
CKLF-CMTM1	-0.25	0.431140663327549
IFIH1	-0.24	0.245665192236506
SNX2	-0.21	0.209904615241361
HIF1AN	0.22	0.212842605197201
TRMT1L	-0.21	0.232805708935772
SMIM7	0.15	0.218146751485863
PTPRM	0.28	0.553380246174508
UCHL5	-0.23	0.215521643755378
SLC7A3	-0.6	0.264044361661446
CLEC2D	0.24	0.217266958324121
CDX2	0.25	0.406316149980974
OSBPL6	0.33	0.541377087486151
NEK8	-0.17	0.249715087269901
NPEPL1	0.25	0.351385164599527
PSPN	-0.28	0.348224925940515
NFKBIA	-0.3	0.223846634068075
FAM162A	-0.77	0.219409646833852
KLF8	-0.41	0.448414065229602
C9orf40	-0.2	0.22668040772463
VASH2	-0.35	0.289554352410228
MPP6	0.21	0.228481793033729
ADH5	-0.17	0.211113187391548
ADSS	-0.26	0.214595481015565
RANBP10	0.19	0.241256794478683
PCDHGA10	-0.27	0.629614579556587
NME3	0.23	0.335802863109347
TYW3	-0.26	0.217374526355189
TMCC2	-0.31	0.408931835598575
ZNF488	-0.29	0.423097000603995
PLGLB1	0.26	0.328153713421426
GCC1	0.23	0.233612694680745
LRRC23	0.19	0.288464168070056
CD274	0.3	0.47950556309241
ANK2	-0.47	0.239213461818886
REC8	-0.24	0.322435840042314
RAE1	0.19	0.219617411103725
FOXD4L4	-0.26	0.55697608225081
FOXD4L2	-0.26	0.55697608225081
POGZ	0.28	0.217295099198834
DNAH10	0.33	0.520901169193733
NDUFS3	-0.26	0.219409646833852
SF3B14	-0.23	0.21989619637
ABCB1	0.27	0.302339487024785
SNRK	0.15	0.220707462179084
ZNF304	0.16	0.245840027447768
ANXA11	0.14	0.213962272730586
MRPL18	-0.25	0.224266354294085
LCA5L	0.37	0.574855510109852
MESDC2	0.17	0.219550333641868
TRIM27	-0.17	0.212542817989566
SARM1	0.25	0.369229581710303
F8	-0.24	0.396940667221505
ABHD8	0.34	0.293120207113389
RANBP1	-0.39	0.212714344613705
CDK6	0.23	0.240435647061761
PDCD7	-0.18	0.224143818597837
ZNF287	0.28	0.609062388186491
BAIAP2L1	-0.37	0.398302206893073
PRPSAP1	0.15	0.229088040571086
RHOA	-0.15	0.228525183000856
IDS_ENSG00000241489.3	0.22	0.430198265101579
MFAP1	-0.16	0.223073567046116
USP21	0.21	0.25939384059664
DND1	-0.24	0.456166995331716
TRIQK	-0.34	0.225908118649769
PPDPF	-0.31	0.296237597966434
SPG20	-0.2	0.213908092288128
MRPS28	-0.31	0.237840856563738
PSME4	0.28	0.218375363158934
TMEM74	-0.25	0.389999972604229
FAM24B	-0.36	0.366306504078754
POLR2H	-0.25	0.224984847528185
GLRB	0.39	0.572148927221436
EPHB6	0.25	0.37925931988152
PVRL1	-0.72	0.314426517410957
CMC1	-0.19	0.251064671171739
GTF2I	0.23	0.228793436609038
MRTO4	-0.51	0.220752640055832
KIF4B	-0.23	0.524523782095193
IKBKAP	0.2	0.219832261260274
ITSN1	-0.21	0.242047816486478
PTPN23	0.27	0.309506130637205
KDM6B	0.55	0.31765999963617497
PDP1	0.25	0.221405995797886
EFEMP2	-0.56	0.351125934552419
FAM117B	-0.47	0.245087540939858
CBLL1	0.2	0.223842141341488
ABHD17C	0.31	0.267086878128517
GNB4	-0.21	0.215104069042047
RABEP2	0.18	0.238619920241122
UBXN6	-0.19	0.224547049485591
MFHAS1	0.25	0.218375363158934
INSC	0.56	0.395563893779574
NOP16	-0.45	0.239380662113115
MTPN	0.14	0.223251721999021
C1orf21	-0.3	0.235163112566419
MAN2B1	-0.25	0.226077971250368
LYRM2	0.17	0.223251721999021
DHX33	-0.48	0.241146638277478
UTP15	-0.42	0.249231333193223
TMEM209	-0.19	0.222858067219253
SAPCD2	-0.39	0.216311158207747
RBM8A	-0.25	0.216441013132957
POC1B-GALNT4	0.38	0.338917254931229
IQCH	-0.27	0.543169332589455
LEPREL4	-0.29	0.317664060991547
MAU2	0.14	0.220077693343633
AP3M1	0.2	0.218309365100441
C7orf72	0.28	0.424296726015971
SHANK1	-0.28	0.276764964499072
HTATIP2	-0.17	0.234048944211343
KRI1	-0.16	0.22326603525437
HSPBP1	-0.32	0.260171236977329
PTER	-0.16	0.220752640055832
IBTK	-0.18	0.219332795194831
EID1	-0.21	0.218023099164223
CDKN1C	0.51	0.572362602771891
TBC1D3	1.22	0.546919217116014
PAK4	0.26	0.270990796138848
PFDN6	-0.36	0.249282319220562
KCND1	0.3	0.559816759928026
PCDHGC3	0.36	0.235044633560489
GPR174	-0.29	0.373588735925551
PITRM1	-0.23	0.227128080646266
GPATCH8	0.22	0.230170358594003
MORN1	0.25	0.341212453642988
CLTC	0.16	0.231518733904117
PTPN2	-0.15	0.221172064685535
CCHCR1	-0.18	0.277769200191786
KLHL20	0.2	0.248615234496506
TUBA1A	-0.56	0.221108991654503
MYBPC2	-0.45	0.400298712597396
PURB	0.19	0.235108278070948
TMPPE	0.31	0.297192020005304
RBMX	-0.19	0.232570032968456
CEBPZ	-0.22	0.219332795194831
DNAJC14	0.18	0.226830815865356
ZNF518B	0.15	0.224122016284176
TTC16	0.3	0.652864357706841
BZW1	0.28	0.22568106521617
ZDHHC6	-0.15	0.236444665634443
SUPT20H	0.2	0.225984860885748
LPHN2	0.27	0.536584090525031
FBXO41	-0.23	0.230452124945273
PDE12	0.32	0.223419655220646
GPR21	0.23	0.590907133067907
CYTIP	-0.26	0.22148157918417
GDAP1L1	1.07	0.580760279610147
SDHB	-0.32	0.226770860597212
EMR2	0.42	0.288464168070056
TRAK1	0.14	0.223789189162938
ADCY6	-0.14	0.219550333641868
FAU	-0.22	0.224984847528185
GSTM2	0.3	0.452596419926539
SMIM13	0.24	0.24522953176012
C17orf100	0.31	0.477678346750367
TNFRSF19	-0.42	0.514907314480839
C19orf18	-0.3	0.576584910183279
TOR1A	0.21	0.239733421503051
AKR1B1	-0.18	0.221123476538806
ACER2	-0.25	0.420134001669469
CTNS	0.22	0.33093522567904
C1S	-0.35	0.586380054961678
TBC1D19	0.23	0.330694765345129
KIAA0125	0.24	0.227723976343358
STARD13	0.19	0.241843493105147
SCLT1	-0.18	0.232479615205526
HEY2	-0.24	0.575444175200086
MRPL48	-0.26	0.23636063160817
GSTM1	-0.25	0.279306767244431
CD300LG	0.62	0.587337309298962
FOCAD	-0.32	0.257137215975864
ZNF646	0.23	0.230582082172709
CITED2	0.25	0.249603395762206
KIAA0825	-0.27	0.422461512323828
BET1L	0.23	0.24011570203254
NLK	0.17	0.246075620654833
CTB-133G6.1	-0.38	0.344948440035286
NAPSA	0.29	0.397991554777214
YY2	-0.22	0.423097000603995
RAB7L1	-0.23	0.287516563987035
ALG13	0.16	0.249253861143799
SAMD11	0.63	0.338733191976178
SAT1	-0.37	0.253504086400357
EIF4EBP1	-0.55	0.222433390893856
ACTR1B	-0.23	0.228525183000856
EIF4EBP2	0.31	0.222858067219253
ARID1A	0.3	0.23039181750442
GALC	-0.18	0.232949841358832
ZAP70	0.14	0.224085585890834
CCT2	-0.29	0.228228856294765
MAD2L2	-0.15	0.227696610603592
ACSL1	0.28	0.228304731961618
ZMYM3	-0.28	0.229249491057022
FKBP15	-0.19	0.225779341954575
TMEM87A	0.16	0.231260218854651
AKAP2	0.34	0.224228978541757
KB-1507C5.2	-0.4	0.553507403810234
STK19	0.18	0.286165564352824
DTX4	-0.5	0.275598567446329
MICA	0.2	0.336755593011181
IRGM	0.52	0.319312160618519
ACYP2	0.24	0.344948440035286
RAB8B	0.32	0.224793131260359
PHF11	-0.2	0.242325441365973
KNSTRN	-0.34	0.232413203478674
AL161915.1	-0.27	0.43003791932011
TSNAX	0.17	0.224530273800775
SETD2	0.18	0.224977405252941
AMZ2	-0.19	0.257412944378635
COL9A3	-0.43	0.348645129012174
IFFO1	0.2	0.266543478470125
ZFC3H1	0.24	0.231647336232574
AMDHD2	-0.26	0.265828054165461
PPP1R36	0.26	0.621101414605991
LEO1	-0.15	0.234289729843353
SORD	-0.36	0.226245238137903
SMAD3	0.34	0.30333374628497
ZBED3	0.34	0.36305896299466
CCDC71L	-0.33	0.251197862415227
HIST1H2AC	-0.75	0.237817884968886
COLGALT1	-0.24	0.224547049485591
ANKAR	-0.25	0.49427286495797
RNF145	0.16	0.22668040772463
ALG3	-0.35	0.24687296249462
NKX6-1	-0.24	0.470636265689023
DLEU2L	-0.22	0.626856579735831
LENG8	-0.31	0.234338797718003
VRK2	-0.18	0.254334533094196
EIF1AX	0.24	0.234055203061533
CNIH3	-0.24	0.616957105595395
RP11-723O4.6	0.36	0.599506812533449
SNAI1	-0.33	0.379762096620779
RP5-1021I20.4	0.23	0.545086461395315
RDH13	-0.21	0.405379712568035
KLHDC2	-0.24	0.238884629509829
FGFR4	0.21	0.578743653131738
C7orf61	0.3	0.518676265238356
MYL5	0.27	0.369229581710303
YIPF3	0.17	0.235637422081598
FBLN1	-0.26	0.368177411712838
ZNF836	0.19	0.281807257973706
ZNF546	-0.24	0.350478487249882
TACO1	-0.27	0.288973486948575
SPAG4	0.2	0.691027259938734
ETAA1	-0.25	0.237840856563738
TMEM248	0.16	0.226354592849828
UGDH	0.24	0.245658814646983
TXK	-0.23	0.557274996287162
PLXNA3	0.26	0.257256056123124
GSR	0.2	0.227383171386944
PPME1	-0.23	0.247054148795951
ETFA	-0.17	0.227211780279695
NR1H2	0.14	0.23949097562469
FAM111B	-0.13	0.227539620982509
TAB1	-0.2	0.244175888279877
TCTEX1D2	-0.19	0.354936998343736
RASIP1	-0.23	0.650855374949105
WTIP	-0.22	0.486511810835762
PYGM	-0.19	0.527696866538714
CALHM2	-0.24	0.287214154734541
N4BP2L1	-0.47	0.250388817898726
TUBG2	0.35	0.517041966252055
HR	-0.58	0.589192662023564
ZNF215	0.18	0.323313093862923
MOB1A	0.17	0.242002014943118
CD99	0.23	0.241146638277478
CD99_ENSGR0000002586.13	0.23	0.241146638277478
PIAS1	0.14	0.241549056189236
PHYH	-0.26	0.33576456960106
RP11-181C3.1	0.33	0.666299792402764
SMAD4	0.16	0.230582082172709
IL1RAP	-0.15	0.268487121849082
MFSD10	-0.22	0.236807570982628
RUVBL1	-0.37	0.231992339442088
CLK2	-0.16	0.237734512581976
SNX29	0.18	0.270928325039757
HK1	-0.43	0.233124908093661
RNASEK-C17orf49	0.48	0.503940237691508
ARHGEF19	0.22	0.327169635300492
FBXL18	0.32	0.405379712568035
RGS9BP	-0.3	0.671918488225429
WRAP53	-0.21	0.257211935977639
STAT1	0.27	0.233460249839542
PGF	-0.28	0.543552004705781
NPIPB11	-0.21	0.68963778478875
CAB39L	0.2	0.33557567287749
SLC36A1	0.27	0.356980386750613
DUS3L	-0.34	0.246301918332283
SPCS3	0.16	0.237582575309964
HSD17B1	-0.22	0.524119288274768
OXCT2	-0.32	0.642669775365902
SAC3D1	-0.22	0.2957498089483
ACIN1	0.15	0.234324321913334
NPIPA8	0.31	0.581141818720413
RNF152	0.67	0.385786665273339
REEP2	0.34	0.487976094340679
TMOD3	0.15	0.230826450993957
DKFZP779L1853	0.22	0.42009254380697
SET	-0.22	0.254334533094196
HENMT1	-0.21	0.241891504073295
RBL1	-0.15	0.231138844215647
C6orf52	-0.22	0.669525484068989
AC021860.1	0.28	0.568920130596327
C5orf55	0.23	0.376232284644775
NUPL1	-0.16	0.232805708935772
GBGT1	0.34	0.252143662003036
ZNF429	0.21	0.269284941475321
MEFV	0.33	0.506911438552983
RNF44	0.28	0.262860626363518
TNS1	-1.15	0.323981065126924
LRRC57	0.15	0.269419784064183
HYAL3	-0.39	0.388612991635593
FBXO10	0.24	0.341915332849999
ERI3	-0.29	0.262457570544471
CAMTA1	0.21	0.281724652899933
CBFB	0.15	0.236444665634443
CDK17	0.26	0.238552584288403
KLHL28	0.18	0.242698886595179
ARHGAP4	-0.2	0.232949841358832
ZNF398	-0.2	0.242751725911532
CSGALNACT1	0.23	0.609432363913943
TTC8	-0.26	0.439893531064158
UBAP1L	0.23	0.365717849221848
SKIDA1	-0.22	0.557274996287162
RP11-795F19.5	-0.27	0.615440024507683
SBF2	-0.31	0.254161921174355
ZNF569	0.25	0.26290952366697
ALAS1	0.19	0.238552584288403
RHEBL1	-0.5	0.306566156080641
BEND4	-0.15	0.234010355119881
APH1B	0.29	0.26107073247917
UAP1L1	0.41	0.516551930756135
ALKBH8	-0.29	0.26601823822138
GPR89C	-0.43	0.360928246107782
NEDD4	-0.45	0.255812503074596
RNF187	-0.38	0.238552584288403
WDR25	0.29	0.357003464205332
MYO1E	0.34	0.258457624018115
RPS6KL1	-0.32	0.479089366559375
C11orf57	-0.18	0.239456900897252
ETV6	0.23	0.257899854476153
LAS1L	-0.34	0.24065458190034
HNRNPU	-0.2	0.257256056123124
PIBF1	-0.18	0.253696166236009
GNE	-0.21	0.244590650282353
DDX25	0.2	0.531328597803669
ROBO4	0.21	0.722738548997995
LRR1	-0.23	0.253616519726219
CCDC117	0.26	0.236444665634443
WASL	0.17	0.273899650272936
NCDN	0.21	0.275871344077751
SOX13	-0.23	0.341332046555422
MYPOP	0.19	0.407865635720812
MRPL32	-0.23	0.264852573464757
CCNE1	-0.27	0.394984179909328
YTHDC2	-0.18	0.269419784064183
UBE2C	-0.31	0.239482998610441
CHTOP	0.17	0.237442914110944
FAM58A	0.33	0.306636864017168
REPS2	-0.46	0.527696866538714
ARHGEF40	-0.47	0.281940294226267
C1orf228	0.51	0.29103916753032
GLIS2	0.31	0.470610832720132
KIAA0930	0.13	0.235621079137128
HHLA3	0.29	0.462393297647457
ZKSCAN1	0.17	0.236109317228866
HAGH	0.25	0.286165564352824
ZSCAN31	0.21	0.316583228390128
FRS3	0.19	0.397122901822432
MRPS31	-0.14	0.267153479623898
DCAF4L1	0.3	0.596560548690312
LAMA2	0.24	0.597304765713724
VGF	0.29	0.622126939536143
CD40	0.51	0.365909669441028
DTNBP1	0.19	0.317123134322342
CD99L2	0.14	0.262889506260812
PCIF1	0.25	0.265828054165461
SOCS4	0.2	0.236983594408874
ZNF830	-0.16	0.270990796138848
EZH1	-0.27	0.241304637629017
CCDC13	-0.19	0.680339034848975
C6orf211	-0.22	0.249431423975676
ZNF749	-0.26	0.323845817823881
SMAD1	-0.15	0.282097135101854
SLC30A4	-0.27	0.325770721755223
RWDD2B	-0.16	0.26290952366697
SLC2A4RG	0.24	0.255071806362347
ABCD3	0.22	0.248734021661519
GNL2	-0.27	0.241338605061091
PPFIBP1	0.16	0.241929750291667
CKB	0.48	0.471339108795453
METRN	-0.27	0.454790084115777
C8orf33	-0.35	0.24011570203254
FAM90A1	0.16	0.749312480035824
METRNL	0.2	0.264634534801004
TENM4	0.25	0.287637456644681
KLHDC10	0.12	0.245102182399808
FAM105B	0.13	0.239469588409109
GGNBP2	0.19	0.242031094228585
PHB2	-0.2	0.242265504781563
WWP2	0.16	0.248851346676055
PEBP1	-0.37	0.238776930860752
ISY1	-0.15	0.258457624018115
FBLL1	-0.25	0.65711009341497
SPNS1	-0.18	0.287647544893803
NGLY1	-0.17	0.241304637629017
HSPD1	-0.38	0.260278563060092
COQ6	-0.18	0.289559264724742
CCNT2	0.15	0.240927849755241
PHOSPHO2	-0.23	0.536584090525031
TMED3	0.15	0.248991699582741
RCSD1	-0.19	0.247786086822674
GTPBP3	-0.2	0.264298250441142
SLC17A7	0.35	0.671918488225429
RASL11A	0.21	0.610085682681151
ZNF696	-0.24	0.290512034254707
KIAA1462	0.31	0.70872206445459
NBPF8	-0.26	0.371718374983224
MICU3	-0.26	0.33413819239658
PODXL2	-0.21	0.727886016000368
FAM177A1	0.15	0.308557786715912
GNMT	-0.19	0.614703568473049
PABPN1	-0.14	0.239733421503051
SDHD_ENSG00000255292.2	-0.16	0.780312806257973
LNX2	0.19	0.24959824456583601
FUK	-0.22	0.311834445953848
RRP36	0.25	0.264442008749938
CENPP	-0.19	0.289321464225963
XAB2	-0.17	0.262484268951427
POLR1C	-0.29	0.261463570072025
SNRNP27	0.15	0.266936671914817
C12orf77	-0.36	0.275262808177845
TMEM179B	0.15	0.267086878128517
BST1	0.18	0.715494834188169
PNMAL2	0.25	0.71290101814755
DRG1	-0.24	0.244974334200152
UBQLNL	0.17	0.735722179273848
FZD7	0.38	0.437279430912689
HIST1H3F	-0.52	0.25976330473043
THAP5	-0.18	0.254334533094196
CXXC4	-0.33	0.436639171191513
BANP	0.18	0.290358103096153
FAH	-0.26	0.278243735418235
MRPL3	-0.35	0.241304637629017
NOVA1	-0.26	0.524600069349596
C20orf24	0.3	0.253827426803212
CIDEB	0.2	0.731559696386307
GNGT2	-0.18	0.393955362277134
UPRT	-0.17	0.281807257973706
HP1BP3	-0.18	0.252090430361156
IAH1	-0.28	0.26116267845531
STIM1	0.28	0.251076101087081
KIF13A	0.21	0.252102271758516
SRGAP2	0.19	0.253739043409417
PDK2	-0.2	0.314729999324461
MT-ATP6	0.3	0.254443934871612
TMEM168	-0.23	0.309181925259694
ARMC12	-0.21	0.629702054340379
TRIM69	0.15	0.286060190527522
ZNF563	-0.21	0.407245837738408
CYP2U1	-0.22	0.324112400910622
ATP11A	0.21	0.254669144490522
TUBA1B	-0.24	0.287214154734541
BAI2	-0.39	0.580765211360403
KLRC2	0.28	0.72758235799666
POLB	0.21	0.265736097207983
KBTBD2	0.13	0.26437369104509
ALS2	0.23	0.278584552567345
DYNC1H1	0.19	0.262864140191695
C17orf107	0.18	0.742037838177938
ZNF496	-0.17	0.252932755116439
NINL	0.17	0.789508603782972
STX7	0.25	0.243367493511436
C19orf73	0.28	0.544615474048105
COL27A1	-0.32	0.328634828268031
KRCC1	0.27	0.262721091818627
DCTN2	-0.15	0.24974005666306
RBAK	0.17	0.276444059136302
CRYZL1	-0.2	0.275908734511842
FKBP10	-0.29	0.586890867193813
SNX18	-0.24	0.25606275425622
E2F6	0.25	0.26012642534488
UTP18	-0.25	0.248392082548358
CD58	-0.21	0.285983836038066
ANKRD11	0.21	0.24522953176012
CMYA5	0.2	0.731507315129169
CLEC18C	0.24	0.816795316573819
PDE4D	0.18	0.326245974677815
PIH1D2	-0.15	0.622892429537151
APOL1	-0.36	0.577282406268669
AP003068.23	0.2	0.572049804571395
SLC25A14	0.21	0.328755585787174
CALCB	0.5	0.467439597686137
DNAL1	0.22	0.310416764211564
H3F3A	-0.18	0.257425813459176
AS3MT	0.22	0.535171371336771
BCLAF1	0.21	0.256154019964283
BRIP1	-0.16	0.248041593274608
RP4-583P15.14	0.45	0.506403383965185
CCDC147	0.19	0.600255265543455
ATF6B	-0.14	0.254782841046881
MOGS	-0.15	0.254334533094196
JHDM1D	0.36	0.257425813459176
STK36	0.19	0.333130181250154
ANKHD1-EIF4EBP3	0.2	0.391753791552874
ITPRIPL2	-0.18	0.270008928713689
PTOV1	0.3	0.254540334508862
DNAJC2	-0.33	0.261240271495855
CD300LF	0.31	0.365164507577746
ZNF597	0.2	0.419412338099723
TMEM8B	0.35	0.449261124394445
SRGAP3	0.27	0.410835701586347
POMC	-0.25	0.339732525035012
DR1	0.14	0.248072132651318
OAS1	-0.35	0.295815656545272
ETV2	0.14	0.79938077397101
IKZF5	-0.16	0.270145934034033
YIPF5	0.13	0.264634534801004
MAP3K6	0.32	0.385994328298995
USP46	0.23	0.263760774549909
LMX1A	0.25	0.716136681822514
NDST1	0.19	0.27803443953241
GPR84	0.33	0.461661200646844
SMIM4	-0.27	0.397902426631545
PDHB	-0.2	0.24946293165619
SEC61G	-0.2	0.291050421956269
EPB41L5	0.24	0.292810572172339
SREK1	0.14	0.251064671171739
CTC-487M23.8	0.42	0.615924875185501
AGAP10	-0.26	0.372658926818559
NARG2	-0.14	0.252302520085085
ZNF521	0.16	0.690067256250467
CCDC64	0.36	0.545508045778301
ZNF793	-0.23	0.461529439214494
PEX5L	0.31	0.686507893952402
EHMT2	-0.18	0.249231333193223
CRIP3	-0.53	0.555538110950229
HCG27	0.22	0.444229249781787
EP400NL	0.26	0.373671710477261
HEATR6	-0.15	0.308289803892473
NUP93	-0.29	0.251324171833405
HTR1F	0.28	0.537253722279305
CD244	0.37	0.476984204175088
ERP27	0.23	0.439893531064158
TRAPPC2P1	0.16	0.352454508577193
GPCPD1	0.33	0.24935375386916
ADARB2	0.36	0.372043151647843
NCOR2	0.3	0.288464168070056
ITPRIP	0.27	0.275501170227739
DNAJC6	-0.17	0.328588557865333
ETS1	0.18	0.257327842990769
C1orf54	-0.32	0.522869949607264
NR1D1	0.22	0.555733464788667
RHOC	-0.45	0.300958806795416
AFTPH	0.2	0.254669144490522
SNX13	-0.16	0.27267377721356
CDC20	-0.45	0.250741709723459
KDELC2	-0.14	0.266910421443977
KLHL26	0.25	0.36287718720264
TAS2R4	0.19	0.700130031541918
ALDH1B1	-0.33	0.272076319432765
DDX10	-0.33	0.265074654154237
RPAP1	-0.28	0.284212637351689
EMC6	-0.25	0.315820262216787
KIFC2	0.22	0.281569100942756
PCOLCE	0.3	0.367962268944086
ARFGAP2	-0.17	0.249831632811915
CTD-2370N5.3	0.29	0.576584910183279
APEX2	-0.16	0.279306767244431
PREB	0.19	0.25976330473043
RP11-126K1.2	-0.27	0.715708747957732
SLC1A4	0.53	0.25690938479354
SP6	-0.29	0.684645277100806
SLC8A3	0.76	0.344132419909428
UNC5CL	0.28	0.548468105176698
MAFF	-0.45	0.353959945650853
PEX13	-0.16	0.271570706523745
USP27X	0.21	0.374713154829802
PRRT1	0.18	0.726266269468631
C17orf103	0.36	0.422226907815508
ITGAX	-0.42	0.455378983329222
ARF1	0.2	0.254566413126021
CSTF2	-0.22	0.281131220507377
IL12RB1	-0.22	0.368832897330872
EIF5	0.23	0.259112022826644
SNUPN	0.14	0.277140954863248
SCARF2	0.39	0.497648500982424
ERMN	-0.27	0.445533870407717
MRPL43	-0.19	0.311217943695345
IER5L	0.19	0.534975434779988
RSPRY1	0.13	0.263811951447017
ASGR2	-0.32	0.582874914768829
TMEM138	0.22	0.300530223077892
ZC3H12D	-0.37	0.305882143505297
PHF16	0.23	0.273676864334424
MSRB1	0.21	0.364890716001533
FIG4	0.31	0.293120207113389
RNF144B	-0.22	0.514214405593898
EFCAB11	-0.18	0.36644687410477
SCLY	-0.37	0.286165564352824
TCF12	0.13	0.254669144490522
FFAR1	-0.2	0.751165999126043
EME2	0.18	0.296904408871625
OGFOD1	-0.29	0.27097461585479
STXBP5L	-0.22	0.625413154058014
ZSCAN12	0.14	0.26107073247917
SHF	0.26	0.351640962173668
NUDT17	-0.17	0.520973596155115
C21orf67	0.2	0.493737966610243
CLASRP	-0.14	0.276971206459908
TRAPPC5	-0.18	0.293400026255117
STYX	0.16	0.267451363549719
PLAU	0.37	0.430016295375855
SHQ1	0.23	0.279322851169339
TRIAP1	-0.3	0.288973486948575
PLK1	-0.4	0.266910421443977
CAST	-0.28	0.26182267488537
SMPDL3A	0.22	0.39938189290521
FAM46C	0.44	0.706477388879888
PPM1M	-0.36	0.287579992293014
RIMKLB	0.16	0.259112022826644
P2RX7	-0.63	0.327193919089447
SLC4A7	0.18	0.263223416300286
KLHL14	0.28	0.299787282865847
MAB21L1	-0.12	0.808692060381148
ID2	0.67	0.288449018202844
SC5D	0.29	0.267383786477942
VPS37B	0.21	0.281955827501347
LPHN3	0.21	0.261627045538292
PNP	-0.23	0.257256056123124
PCYOX1L	-0.19	0.287612651054531
MT-CYB	0.37	0.269419784064183
LTC4S	-0.32	0.585089661812078
ITGAE	-0.17	0.291349904664892
PPIB	0.31	0.256919597584896
SMAD9	0.36	0.292170028001863
PNN	-0.18	0.257256056123124
ANKRD33B	-0.23	0.472017007190485
PHKG1	-0.15	0.730554468840332
AZIN1	0.18	0.261506929912777
AC016586.1	0.12	0.822128337905708
KIAA0586	-0.18	0.265736097207983
AC006486.1	0.12	0.770340928185553
WBSCR16	0.22	0.277683929042124
HBS1L	0.15	0.256177974574802
TTC21B	-0.16	0.26561458790526
OSBPL8	0.21	0.270010289492679
MTHFR	-0.27	0.265336358658685
MROH7	0.26	0.738932888688106
GIMAP2	-0.22	0.285723283329742
ZNF324B	-0.16	0.328755585787174
ATAD3C	0.08	0.855712935090366
